epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2434.39,1.11043,1.08838,1.23668,0.59048,0.60848,0.63202,0.47107,1.10939,1.24849,1.33065,0.000294239,0.000294239,0.000294239
66,2471.45,1.1026,1.07484,1.23013,0.58185,0.65479,0.66268,0.49782,1.13091,1.21423,1.3422,0.000280275,0.000280275,0.000280275
67,2508.52,1.11002,1.07852,1.22623,0.59584,0.67188,0.66059,0.4933,1.10219,1.21278,1.32955,0.000266532,0.000266532,0.000266532
68,2545.86,1.09424,1.0709,1.22534,0.61637,0.6775,0.66421,0.50418,1.09626,1.20474,1.32389,0.000253024,0.000253024,0.000253024
69,2585,1.10529,1.06646,1.22576,0.62739,0.60923,0.65175,0.49001,1.10082,1.23621,1.31961,0.000239766,0.000239766,0.000239766
70,2623.84,1.10334,1.06605,1.23326,0.62084,0.66523,0.66431,0.49882,1.09736,1.24019,1.32138,0.000226769,0.000226769,0.000226769
71,2661.47,1.09848,1.05733,1.22315,0.61552,0.6501,0.66433,0.50126,1.1045,1.24642,1.3289,0.000214046,0.000214046,0.000214046
72,2698.74,1.08085,1.03913,1.21737,0.612,0.6453,0.673,0.50391,1.08824,1.18281,1.32295,0.000201611,0.000201611,0.000201611
73,2736.42,1.08003,1.04392,1.2178,0.61695,0.66862,0.68159,0.51024,1.09525,1.15848,1.31934,0.000189475,0.000189475,0.000189475
74,2773.91,1.07251,1.01628,1.21272,0.58654,0.6624,0.65256,0.49164,1.08938,1.22628,1.31429,0.000177651,0.000177651,0.000177651
75,2811.59,1.06782,1.01263,1.21335,0.61469,0.67707,0.67336,0.50498,1.10336,1.19181,1.3268,0.000166149,0.000166149,0.000166149
76,2849.26,1.07474,1.01141,1.20932,0.61517,0.6532,0.66602,0.5014,1.10618,1.21661,1.32617,0.000154982,0.000154982,0.000154982
77,2886.86,1.07859,1.01642,1.21249,0.60577,0.63887,0.66336,0.50025,1.09457,1.18812,1.3219,0.000144161,0.000144161,0.000144161
78,2924.4,1.06266,0.99342,1.21026,0.62176,0.61232,0.65812,0.495,1.09142,1.19509,1.322,0.000133695,0.000133695,0.000133695
79,2961.7,1.07171,0.99046,1.20815,0.56992,0.66123,0.66997,0.50142,1.10469,1.20715,1.32608,0.000123596,0.000123596,0.000123596
80,2998.86,1.0572,0.98134,1.19777,0.60239,0.65018,0.67513,0.50629,1.08893,1.17424,1.32753,0.000113873,0.000113873,0.000113873
81,3035.8,1.05203,0.9866,1.2071,0.6281,0.63694,0.66832,0.50149,1.08667,1.19368,1.3247,0.000104537,0.000104537,0.000104537
82,3072.81,1.0608,0.97875,1.20254,0.60848,0.63903,0.66183,0.49397,1.08758,1.20655,1.32007,9.55951e-05,9.55951e-05,9.55951e-05
83,3109.87,1.05291,0.9724,1.20634,0.64247,0.62272,0.6695,0.50076,1.08973,1.18968,1.31983,8.70577e-05,8.70577e-05,8.70577e-05
84,3147.08,1.05512,0.97056,1.19632,0.59863,0.69228,0.67327,0.50494,1.09045,1.18809,1.31987,7.89327e-05,7.89327e-05,7.89327e-05
85,3184.71,1.05962,0.98115,1.19901,0.66245,0.59803,0.67715,0.50866,1.09308,1.1692,1.32289,7.12282e-05,7.12282e-05,7.12282e-05
86,3222.43,1.04424,0.95462,1.19643,0.57626,0.70643,0.67489,0.50593,1.08557,1.16692,1.31566,6.39518e-05,6.39518e-05,6.39518e-05
87,3260.23,1.06115,0.96089,1.19815,0.60792,0.68101,0.67657,0.50876,1.08706,1.17695,1.31896,5.71106e-05,5.71106e-05,5.71106e-05
88,3297.89,1.03849,0.96229,1.18973,0.5841,0.70636,0.68036,0.51219,1.08748,1.15834,1.31526,5.07115e-05,5.07115e-05,5.07115e-05
89,3335.67,1.0452,0.94881,1.19175,0.63175,0.63277,0.675,0.50618,1.09003,1.17854,1.31992,4.47606e-05,4.47606e-05,4.47606e-05
90,3373.37,1.04471,0.94446,1.18981,0.59046,0.6782,0.67728,0.50598,1.09676,1.17556,1.32482,3.9264e-05,3.9264e-05,3.9264e-05
91,3431.6,1.02319,0.85935,1.19642,0.63535,0.60163,0.65249,0.48435,1.10789,1.23928,1.33645,3.4227e-05,3.4227e-05,3.4227e-05
92,3468.77,1.01587,0.82028,1.1928,0.64012,0.59462,0.65715,0.48898,1.09468,1.23151,1.32807,2.96546e-05,2.96546e-05,2.96546e-05
93,3505.81,1.00407,0.78529,1.18172,0.62701,0.63343,0.66222,0.49047,1.09727,1.21409,1.32689,2.55513e-05,2.55513e-05,2.55513e-05
94,3542.95,1.00473,0.79901,1.18236,0.6132,0.6291,0.66379,0.49238,1.09279,1.21008,1.3232,2.19212e-05,2.19212e-05,2.19212e-05
95,3580.3,1.00302,0.79812,1.1876,0.61171,0.63512,0.6622,0.49255,1.09306,1.20515,1.32308,1.87678e-05,1.87678e-05,1.87678e-05
96,3617.37,0.99529,0.78519,1.17349,0.60317,0.63411,0.66097,0.49007,1.09253,1.20292,1.3238,1.60943e-05,1.60943e-05,1.60943e-05
97,3654.78,0.99955,0.78203,1.17676,0.60838,0.63031,0.66412,0.49321,1.0966,1.2051,1.32384,1.39032e-05,1.39032e-05,1.39032e-05
98,3691.76,0.9947,0.78298,1.17857,0.60705,0.63938,0.66781,0.49612,1.09244,1.19611,1.32238,1.21968e-05,1.21968e-05,1.21968e-05
99,3728.76,0.99914,0.78233,1.17932,0.59449,0.64719,0.66939,0.49813,1.08987,1.18793,1.32169,1.09768e-05,1.09768e-05,1.09768e-05
100,3765.97,0.99062,0.77505,1.17367,0.61019,0.64068,0.66594,0.49502,1.08967,1.19518,1.32325,1.02443e-05,1.02443e-05,1.02443e-05
